Node,Root,Headword,Buck root,Index,Buck Head
n38392,مراء,هٰذَا يُمْرِئُ الطَّعَامَ,mrA',1,h`*aA yumoriy^u AlT~aEaAma

n38845,ملأَ,شَابٌّ مُمْتَلِئٌ,mlA^a,1,$aAb~N mumotaliy^N

n39117,نأج,رِيحٌ نَؤُوجٌ,nA^j,1,riyHN naw^uwjN

n39122,نأج,حَدِيثٌ مَنْؤُوجٌ,nA^j,1,HadiyvN manow^uwjN

n39130,نأش,فَعَلَهُ نَئِيشًا,nA^$,1,faEalahu nay^iy$FA

n40672,نوأ,استناء بِنَجْمٍ,nwA^,0,AstnA' binajomK

n40678,نوب,أَنَبْتُهُ عَنْهُ,nwb,0,A^anabotuhu Eanohu

n40771,نيأ,اناء الأَمْرَ,nyA^,0,AnA' AlA^amora

n43797,ناى,نَأَى بِهِ,nAY,0,naA^aY bihi

n14282,رأس,رُؤُوسٌ رُوَّسٌ,rA^s,0,ruw^uwsN ruw~asN

n14294,رأف,رَؤُفَ بِهِ,rA^f,0,raw^ufa bihi

n14307,رأل,نَعَامَةٌ مُرْئِلَةٌ,rA^l,1,naEaAmapN muroy^ilapN

n14308,رأل,مَرَّ مُرَائِلًا,rA^l,1,mar~a muraAy^ilFA

n14309,رأم,رَئِمَتْ وَلَدَهَا,rA^m,0,ray^imato waladahaA

n14314,رأم,فُلَانٌ رُؤْمٌ لِلضَّيْمِ,rA^m,1,fulaAnN ruw^omN lilD~ayomi

n14327,رأى,أَرَيْتُهُ الشَّىْءَ,rA^Y,0,A^arayotuhu Al$~aYo'a

n14334,رأى,أَتَاهُمْ حِينَ جَنَّ رُؤْىٌ,rA^Y,2,A^ataAhumo Hiyna jan~a ruw^oYN

n16948,روأ,قَصيدَةٌ رَائيَّةٌ,rwA^,1,qaSydapN raAy^y~apN

n18593,سأم,سَئِمَ مِنْهُ,sA^m,0,say^ima minohu

n3693,تأم,تَآءَمَ أَخَاهُ,tA^m,0,taA='ama A^axaAhu

n3703,تأم,فَرَسٌ مُتَائِمٌ,tA^m,1,farasN mutaAy^imN

n3704,تأم,تَجْنِيسٌ مُتَوْءَمٌ,tA^m,1,tajoniysN mutawo'amN

n4792,ثوأ,أَثَأْتُهُ بِسَهْمٍ,vwA^,0,A^avaA^otuhu bisahomK

n11665,خوأ,خَآءِ بِكَ عَلَيْنَا,xwA^,0,xaA='i bika EalayonaA

n11706,خوض,أَخَضْتُ فِى المَآءِ دابَّتِى,xwD,0,A^axaDotu fiY AlmaA='i dAb~atiY

n11731,خوق,خُقْ خُقْ,xwq,0,xuqo xuqo

n18208,زنبر,أَرْضٌ مَزْبَرَةٌ,znbr,1,A^aroDN mazobarapN
